project_root,mapper_interface,method_name,param_count,source_file,line_number
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.generation.LinGenerationCompensateDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/generation/LinGenerationCompensateDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteAdjustmentDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteAdjustmentDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteAdjustmentMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteAdjustmentMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteBillDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteBillDetailMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteBillMapper","saveOne",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteBillMapper.java",18
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteBillMapper","setOrigFileInfo",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteBillMapper.java",23
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteCompensateDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteCompensateDetailMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.sendsite.LinSendSiteSignRateMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/sendsite/LinSendSiteSignRateMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.trunkline.LinTrunkLineBillMapper","saveOne",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/trunkline/LinTrunkLineBillMapper.java",17
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.trunkline.LinTrunkLineBillMapper","setOrigFileInfo",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/trunkline/LinTrunkLineBillMapper.java",22
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.trunkline.LinTrunkLineDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/trunkline/LinTrunkLineDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.trunkline.LinTrunkLineWaybillDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/trunkline/LinTrunkLineWaybillDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.CustomerAccountMapper","refreshFreightAmount",1,"cirro-system/src/main/java/com/cds/finance/mapper/CustomerAccountMapper.java",71
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryBillCycleInstallMapper","deleteMisWaybillCycleInstallByIds",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryBillCycleInstallMapper.java",67
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryBillTransportMapper","deleteMisWaybillTransportById",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryBillTransportMapper.java",59
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryBillTransportMapper","deleteMisWaybillTransportByIds",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryBillTransportMapper.java",67
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryCostMapper","deleteMisWaybillDeliveryCostById",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryCostMapper.java",59
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.mapper.DeliveryCostMapper","deleteMisWaybillDeliveryCostByIds",1,"cirro-system/src/main/java/com/cds/finance/mapper/DeliveryCostMapper.java",67
